id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,link,unitPrice,discount,finalPrice,rating,stockCode,stockStatus
39405,Men,Apparel,Topwear,Shirts,Lavender,Summer,2014,Smart Casual,U.S. Polo Assn. Men Lavender & White Striped Linen Tailored Fit Smart Casual Shirt,http://assets.myntassets.com/v1/image/style/properties/39405/US-Polo-Assn-Men-Shirts_1_668b40d51c89ee02c36b3fa6258a2639.jpg,1060,38,657.2,4.7,39405QAH,In Stock
12988,Women,Apparel,Topwear,Sweaters,Black,Fall,2011,Casual,United Colors Of Benetton Women Womenlight Winter Black Sweaters Black Sweaters,http://assets.myntassets.com/v1/images/style/properties/c2c0d74d8f84a67032c742a4209f7103_images.jpg,3972,8,3654.24,2.7,12988FTR,In Stock
43437,Women,Apparel,Apparel Set,Kurta Sets,Pink,Summer,2012,Ethnic,Global Desi Women Pink & Orange Printed Anarkali Churidar Kurta with Duptatta,http://assets.myntassets.com/v1/images/style/properties/006313e0637882bbb78f7c65e7792008_images.jpg,3292,29,2337.32,2,43437XCK,In Stock
50018,Women,Apparel,Bottomwear,Leggings,Black,Winter,2015,Casual,Hanes Women Black Comfortsoft Waistband Cotton - Stretch Lace Capri Leggings,http://assets.myntassets.com/v1/images/style/properties/74d2bf1948c03dac2fb15044d0da6f42_images.jpg,666,19,539.46,2.7,50018AFN,In Stock
50021,Women,Apparel,Bottomwear,Leggings,Brown,Winter,2015,Casual,Hanes Women Brown Comfortsoft Waistband Cotton - Stretch Lace Capri Leggings,http://assets.myntassets.com/v1/images/style/properties/7dc73cff668d2530f82e2a505526387f_images.jpg,4626,8,4255.92,3.9,50021AFQ,In Stock
9752,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Smart Casual,Indian Terrain Men Grey & White Checked Linen Modern Fit Smart-Casual Shirt,http://assets.myntassets.com/v1/images/style/properties/Indian-Terrain-Men-Xandra-Grey-Shirts_1cf06c14d7af7521ed7c3aefef8b5506_images.jpg,3644,49,1858.44,1,9752OFP,In Stock
50019,Women,Apparel,Bottomwear,Leggings,Grey Melange,Winter,2015,Casual,Hanes Women Grey Comfortsoft Waistband Cotton - Stretch Lace Capri Leggings,http://assets.myntassets.com/v1/images/style/properties/af1949ef9d1d851c1de373dd5bdef1f8_images.jpg,3371,16,2831.64,3.4,50019VAU,In Stock
50022,Women,Apparel,Bottomwear,Leggings,Grey Melange,Winter,2015,Casual,Hanes Women Pink Comfortsoft Waistband Cotton - Stretch Lace Capri Leggings,http://assets.myntassets.com/v1/images/style/properties/df9d0f2fd32570a8c66b74f7e1c772e7_images.jpg,3119,36,1996.16,3.5,50022SIE,Out of Stock
27956,Men,Apparel,Innerwear,Briefs,White,Fall,2018,Casual,Jockey Sport Performance  Men White Sport Performance Stretch Briefs SP 02,http://assets.myntassets.com/assets/images/27956/2018/4/13/11523610678974-Jockey-Sport-Performance--Men-White-Sport-Performance-Stretch-Briefs-SP-02-1591523610678899-1.jpg,330,36,211.2,3.6,27956YIC,Out of Stock
39414,Men,Apparel,Topwear,Shirts,White,Summer,2012,Smart Casual,U.S. Polo Assn. Men Blue & White Checked Tailored Fit Smart Casual Shirt,http://assets.myntassets.com/v1/images/style/properties/US-Polo-Assn-Men-Shirts_7ab8aa51b5b0ffac701b9d5c7a704b0d_images.jpg,1885,32,1281.8,2,39414CWP,Out of Stock
